ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_anomaly,covid_anomaly_lower,covid_anomaly_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,occ_code,occ_title,year,actual
2018-07-01,4451310.636476,4430613.541836552,4473662.772416483,4451310.636476,4451310.636476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4451310.636476,41-2031,Retail Salespersons,2018,4448120.0
2019-07-01,4311638.243542925,4289474.46525509,4331087.686782561,4311638.243542925,4311638.243542925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4311638.243542925,41-2031,Retail Salespersons,2019,4317950.0
2020-07-01,3996077.4745115438,3636675.9629835966,3682572.9171756795,3996077.4745115438,3996077.4745115438,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,-336397.24619644,0.0,0.0,0.0,3659680.228315104,41-2031,Retail Salespersons,2020,3659670.0
2021-07-01,3681378.8933790536,3660431.6277642595,3702831.436930045,3681378.8933790536,3681378.8933790536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681378.8933790536,41-2031,Retail Salespersons,2021,3693490.0
2022-07-01,3673807.1377512147,3653286.4346723943,3691428.189109459,3673807.1377512147,3673807.1377512147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3673807.1377512147,41-2031,Retail Salespersons,2022,3640040.0
2023-07-01,3666235.382123376,3647410.1413483815,3687865.0025148494,3666235.382123376,3666235.382123376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3666235.382123376,41-2031,Retail Salespersons,2023,3684740.0
2024-07-01,3658642.88195957,3557493.7703555687,3746122.433860835,3568519.37270902,3746242.6220247904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3658642.88195957,41-2031,Retail Salespersons,2024,3800250.0
2025-07-01,3651071.126331731,3362466.8726449655,3916390.2721355255,3357618.12829148,3926305.6874312027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3651071.126331731,41-2031,Retail Salespersons,2025,3897860.0
2026-07-01,3643499.3707038923,3048305.8173854323,4161952.557568622,3040517.3435547217,4157374.815200641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3643499.3707038923,41-2031,Retail Salespersons,2026,
2027-07-01,3635927.6150760534,2631278.755638359,4419054.539879929,2626461.7456040657,4407857.713246085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3635927.6150760534,41-2031,Retail Salespersons,2027,
2019-07-01,3738634.3808768,3397821.0530349957,4103628.602303861,3738634.3808768,3738634.3808768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738634.3808768,35-3023,Fast Food and Counter Workers,2019,3996820.0
2020-07-01,3642713.1316163363,3101192.2651518914,3784742.155722559,3642713.1316163363,3642713.1316163363,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,-192581.84362094,0.0,0.0,0.0,3450131.287995396,35-3023,Fast Food and Counter Workers,2020,3450120.0
