occ_code,occ_title,major_code,automation_prob,score_source,education_req,emp_cagr,emp_trend_risk,ai_exposure_score,ai_exposure_raw,wage_cagr,real_wage_growth,wage_stagnation_risk,risk_index
11-1011,Chief Executives,11,0.015,actual,Bachelor's degree,0.006322817963420713,0.41504178272980496,0.7866666666666666,4.1466666666666665,0.04349558666079778,0.008495586660797777,0.22689075630252098,0.3197086366580058
11-1011,Chief Executives,11,0.015,actual,Bachelor's degree,0.006322817963420713,0.41504178272980496,0.7183333333333333,3.873333333333333,0.04349558666079778,0.008495586660797777,0.22689075630252098,0.30262530332467247
11-1021,General and Operations Managers,11,0.16,actual,Bachelor's degree,0.06262169737611623,0.0348189415041783,0.7550000000000001,4.0200000000000005,0.012291625817059115,-0.022708374182940888,0.9635854341736695,0.4042516034268861
11-2011,Advertising and Promotions Managers,11,0.039,actual,Bachelor's degree,-0.02295605026545866,0.7270194986072424,0.59,3.36,0.021330531932176378,-0.013669468067823626,0.8977591036414566,0.443167765267667
11-2021,Marketing Managers,11,0.014,actual,Bachelor's degree,0.07358469157141223,0.02228412256267409,0.5924999999999999,3.3699999999999997,0.027283660592241743,-0.00771633940775826,0.773109243697479,0.27414821106715664
11-2022,Sales Managers,11,0.013,actual,Bachelor's degree,0.07699558841109866,0.02089136490250698,0.7016666666666667,3.8066666666666666,0.022838724005638245,-0.012161275994361759,0.8781512605042017,0.3165176287227983
11-2032,Public Relations Managers,11,0.03,imputed,,,0.5,0.5,,,,0.5,0.312
11-2033,Fundraising Managers,11,0.03,imputed,,,0.5,0.6841666666666666,3.7366666666666664,,,0.5,0.35804166666666665
11-3012,Administrative Services Managers,11,0.03,imputed,,,0.5,0.685,3.74,,,0.5,0.35825
11-3013,Facilities Managers,11,0.03,imputed,,,0.5,0.6966666666666667,3.7866666666666666,,,0.5,0.3611666666666667
11-3013,Facilities Managers,11,0.03,imputed,,,0.5,0.7591666666666665,4.036666666666666,,,0.5,0.3767916666666667
11-3021,Computer and Information Systems Managers,11,0.035,actual,Bachelor's degree,0.0799373786428903,0.01532033426183843,0.7124999999999999,3.8499999999999996,0.03322662927835851,-0.001773370721641493,0.5700280112044818,0.28069326853303994
11-3031,Financial Managers,11,0.069,actual,Bachelor's degree,0.04753272684334786,0.08356545961002781,0.7358333333333333,3.9433333333333334,0.03508010848963039,8.010848963038719e-05,0.49719887955182074,0.302851257188112
11-3031,Financial Managers,11,0.069,actual,Bachelor's degree,0.04753272684334786,0.08356545961002781,0.7916666666666667,4.166666666666667,0.03508010848963039,8.010848963038719e-05,0.49719887955182074,0.31680959052144536
11-3031,Financial Managers,11,0.069,actual,Bachelor's degree,0.04753272684334786,0.08356545961002781,0.7891666666666668,4.156666666666667,0.03508010848963039,8.010848963038719e-05,0.49719887955182074,0.3161845905214454
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.6616666666666667,3.646666666666667,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.3239523282850745
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.8858333333333333,4.543333333333333,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.37999399495174113
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.6933333333333334,3.7733333333333334,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.33186899495174116
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.6808333333333333,3.723333333333333,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.3287439949517411
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.7658333333333334,4.0633333333333335,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.34999399495174116
11-3051,Industrial Production Managers,11,0.03,actual,Bachelor's degree,0.04470457677881989,0.0919220055710307,0.7158333333333333,3.8633333333333333,0.024356291126506058,-0.010643708873493946,0.8543417366946778,0.33749399495174115
11-3061,Purchasing Managers,11,0.03,actual,Bachelor's degree,0.028019100158381827,0.18802228412256272,0.7583333333333333,4.033333333333333,0.03175371937031901,-0.003246280629680992,0.623249299719888,0.33267518511582905
11-3071,"Transportation, Storage, and Distribution Managers",11,0.59,actual,High school diploma or equivalent,0.08517428976141539,0.013927576601671321,0.6708333333333334,3.6833333333333336,0.02421208754934856,-0.010787912450651443,0.8557422969187676,0.5348551931914828
11-3071,"Transportation, Storage, and Distribution Managers",11,0.59,actual,High school diploma or equivalent,0.08517428976141539,0.013927576601671321,0.6833333333333332,3.733333333333333,0.02421208754934856,-0.010787912450651443,0.8557422969187676,0.5379801931914827
11-3111,Compensation and Benefits Managers,11,0.96,actual,Bachelor's degree,0.05605357437359726,0.04874651810584962,0.7183333333333334,3.8733333333333335,0.029313308968915264,-0.00568669103108474,0.7156862745098039,0.6806855781309737
11-3121,Human Resources Managers,11,0.0055,actual,Bachelor's degree,0.06331362953654995,0.03064066852367686,0.7416666666666667,3.966666666666667,0.03775910872238053,0.0027591087223805266,0.3935574229691877,0.2527784138167802
11-3131,Training and Development Managers,11,0.0063,actual,Bachelor's degree,0.043396917006650826,0.09610027855153203,0.7441666666666666,3.9766666666666666,0.02867539856000456,-0.006324601439995442,0.7296918767507004,0.3172355038895781
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11,0.047,actual,High school diploma or equivalent,0.045199714712863104,0.08913649025069637,0.6491666666666668,3.596666666666667,0.03223613996462893,-0.002763860035371074,0.6134453781512605,0.29093577143949506
11-9021,Construction Managers,11,0.071,actual,Bachelor's degree,0.0455563197617439,0.08774373259052926,0.7374999999999999,3.9499999999999997,0.027130685119769238,-0.007869314880230766,0.7801120448179272,0.34734055324079494
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11,0.015,actual,Bachelor's degree,0.05496010846512722,0.05153203342618384,0.5466666666666665,3.186666666666666,0.02641525225500585,-0.008584747744994153,0.7983193277310925,0.2727209725115673
11-9032,"Education Administrators, Kindergarten through Secondary",11,0.0046,actual,Master's degree,0.03213539679481614,0.1629526462395543,0.7591666666666665,4.036666666666666,0.023392333768646356,-0.011607666231353647,0.8711484593837535,0.35489446482214054
11-9033,"Education Administrators, Postsecondary",11,0.01,actual,Master's degree,0.03336118763774665,0.15320334261838442,0.685,3.74,0.018619529602668328,-0.016380470397331676,0.9299719887955182,0.34538646684300467
11-9039,"Education Administrators, All Other",11,0.03,imputed,,0.0432106676039643,0.09888579387186625,0.5,,0.018595277994233328,-0.016404722005766675,0.9313725490196079,0.29648304112731444
11-9041,Architectural and Engineering Managers,11,0.017,actual,Bachelor's degree,0.022656465671622605,0.2228412256267409,0.7166666666666667,3.8666666666666667,0.028650033966062027,-0.006349966033937976,0.7338935574229692,0.3406189454054602
11-9041,Architectural and Engineering Managers,11,0.017,actual,Bachelor's degree,0.022656465671622605,0.2228412256267409,0.8208333333333333,4.283333333333333,0.028650033966062027,-0.006349966033937976,0.7338935574229692,0.3666606120721269
11-9051,Food Service Managers,11,0.083,actual,High school diploma or equivalent,0.01211186304414813,0.35515320334261835,0.5666666666666668,3.266666666666667,0.034736492574202193,-0.00026350742579780984,0.5126050420168067,0.3227880636377114
11-9071,Gambling Managers,11,0.091,actual,High school diploma or equivalent,0.022653488603723737,0.22423398328690802,0.6875,3.75,0.02744249453058689,-0.007557505469413112,0.7661064425770308,0.3680377630439362
11-9072,"Entertainment and Recreation Managers, Except Gambling",11,0.03,imputed,,,0.5,0.6066666666666668,3.426666666666667,,,0.5,0.3386666666666667
11-9081,Lodging Managers,11,0.0039,actual,High school diploma or equivalent,0.020209395995133717,0.24651810584958223,0.6183333333333333,3.473333333333333,0.03409278114589265,-0.0009072188541073556,0.5336134453781513,0.2854889713099725
11-9111,Medical and Health Services Managers,11,0.0073,actual,Bachelor's degree,0.06965570783453723,0.02506963788300831,0.81,4.24,0.031149571882967075,-0.003850428117032928,0.6498599439775911,0.3079129191732403
11-9121,Natural Sciences Managers,11,0.018,actual,Bachelor's degree,0.0879134640516197,0.00974930362116988,0.8400000000000001,4.36,0.0370988425642893,0.0020988425642892994,0.4159663865546218,0.28154481870742726
11-9121,Natural Sciences Managers,11,0.018,actual,Bachelor's degree,0.0879134640516197,0.00974930362116988,0.7050000000000001,3.8200000000000003,0.0370988425642893,0.0020988425642892994,0.4159663865546218,0.24779481870742728
11-9121,Natural Sciences Managers,11,0.018,actual,Bachelor's degree,0.0879134640516197,0.00974930362116988,0.7849999999999999,4.14,0.0370988425642893,0.0020988425642892994,0.4159663865546218,0.2677948187074272
11-9131,Postmasters and Mail Superintendents,11,0.75,actual,High school diploma or equivalent,0.00041446510702836115,0.4874651810584958,0.7016666666666667,3.8066666666666666,0.03400697931464802,-0.0009930206853519807,0.5378151260504201,0.6535819717859288
11-9141,"Property, Real Estate, and Community Association Managers",11,0.81,actual,High school diploma or equivalent,0.06326108325073854,0.03342618384401119,0.6266666666666666,3.5066666666666664,0.022309410908889937,-0.012690589091110066,0.8851540616246498,0.6201250126791664
11-9151,Social and Community Service Managers,11,0.0067,actual,Bachelor's degree,0.0488924675092679,0.07242339832869082,0.6616666666666666,3.6466666666666665,0.031222493195975032,-0.0037775068040249715,0.6470588235294117,0.27964016986181656
11-9161,Emergency Management Directors,11,0.003,actual,Bachelor's degree,0.05069283574596106,0.06267409470752094,0.735,3.94,0.03125500554316196,-0.003744994456838041,0.6414565826330532,0.29370330633646213
11-9171,Funeral Home Managers,11,0.03,imputed,,,0.5,0.7208333333333333,3.8833333333333333,,,0.5,0.36720833333333336
11-9179,"Personal Service Managers, All Other",11,0.03,imputed,,,0.5,0.5724999999999999,3.2899999999999996,,,0.5,0.330125
11-9179,"Personal Service Managers, All Other",11,0.03,imputed,,,0.5,0.6358333333333333,3.543333333333333,,,0.5,0.3459583333333333
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.8158333333333332,4.263333333333333,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.364560262127135
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.8125,4.25,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.36372692879380164
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.7558333333333334,4.023333333333333,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.349560262127135
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.7283333333333334,3.9133333333333336,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.342685262127135
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.6866666666666666,3.7466666666666666,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.33226859546046833
11-9199,"Managers, All Other",11,0.25,actual,Bachelor's degree,0.04317223709051721,0.10027855153203347,0.7683333333333333,4.073333333333333,0.04173134911050069,0.0067313491105006895,0.27030812324929976,0.352685262127135
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13,0.24,actual,Bachelor's degree,-0.022789072308729064,0.7256267409470751,0.4091666666666667,2.6366666666666667,0.06529692603001647,0.030296926030016463,0.014005602240896309,0.3455178551922161
13-1031,"Claims Adjusters, Examiners, and Investigators",13,0.98,actual,High school diploma or equivalent,0.017207893229957083,0.2827298050139275,0.7866666666666666,4.1466666666666665,0.025339205342395532,-0.009660794657604471,0.8207282913165266,0.7683218713669312
13-1032,"Insurance Appraisers, Auto Damage",13,0.98,actual,Postsecondary nondegree award,-0.03835158334754585,0.8342618384401115,0.7549999999999999,4.02,0.026924431496389234,-0.00807556850361077,0.7871148459383753,0.8656695945787787
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.815,4.26,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.3614282378689637
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.7583333333333333,4.033333333333333,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.34726157120229706
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.7908333333333333,4.163333333333333,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.35538657120229705
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.65,3.6,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.32017823786896377
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.8574999999999999,4.43,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.3720532378689637
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.6883333333333335,3.753333333333334,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.3297615712022971
13-1041,Compliance Officers,13,0.08,actual,Bachelor's degree,0.04774416779384838,0.0821727019498607,0.7633333333333334,4.053333333333334,0.028690962127364106,-0.0063090378726358975,0.7282913165266107,0.3485115712022971
13-1051,Cost Estimators,13,0.57,actual,Bachelor's degree,0.008310054504015563,0.3941504178272981,0.7891666666666668,4.156666666666667,0.029407714759208226,-0.005592285240791778,0.711484593837535,0.6108444393077564
13-1071,Human Resources Specialists,13,0.57,imputed,,0.06329159859005462,0.03203342618384397,0.7008333333333333,3.8033333333333332,0.029725218560086697,-0.005274781439913306,0.6974789915966386,0.5142368673095978
13-1074,Farm Labor Contractors,13,0.97,actual,No formal educational credential,0.0646092679362511,0.029247910863509752,0.38583333333333336,2.5433333333333334,0.014322094667844398,-0.020677905332155605,0.9607843137254902,0.6344255625648587
13-1075,Labor Relations Specialists,13,0.57,imputed,,-0.02457332807439616,0.7367688022284122,0.6350000000000001,3.5400000000000005,0.04878369500814106,0.013783695008141056,0.12464985994397759,0.5528012394372792
13-1081,Logisticians,13,0.012,actual,Bachelor's degree,0.05742745992866438,0.04317548746518107,0.7324999999999999,3.9299999999999997,0.01885860237024861,-0.01614139762975139,0.9243697478991597,0.33521555967791017
13-1081,Logisticians,13,0.012,actual,Bachelor's degree,0.05742745992866438,0.04317548746518107,0.7291666666666666,3.9166666666666665,0.01885860237024861,-0.01614139762975139,0.9243697478991597,0.3343822263445768
13-1081,Logisticians,13,0.012,actual,Bachelor's degree,0.05742745992866438,0.04317548746518107,0.7941666666666667,4.176666666666667,0.01885860237024861,-0.01614139762975139,0.9243697478991597,0.3506322263445768
13-1082,Project Management Specialists,13,0.57,imputed,,,0.5,0.5,,,,0.5,0.5279999999999999
13-1111,Management Analysts,13,0.13,actual,Bachelor's degree,0.0395977486828909,0.11420612813370479,0.8,4.2,0.027062501073494838,-0.007937498926505165,0.7815126050420168,0.3920681163830435
