year,occ_code,occ_title,primary_state,tot_emp,risk_index,risk_tier,major_group_title,is_covid_year
2019,11-1021,General and Operations Managers,AK,4330.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,AL,25930.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,AR,15080.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,AZ,53220.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,CA,254160.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,CO,34320.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,CT,28520.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,DC,73850.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,DE,540.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,FL,139160.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,GA,73290.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,HI,7760.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,IA,17180.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,ID,11770.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,IL,116250.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,IN,36710.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,KS,6030.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,KY,18880.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,LA,26410.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MA,83810.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MD,27160.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,ME,6410.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MI,55190.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MN,37110.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MO,56290.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MS,9500.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,MT,2450.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NC,51220.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,ND,4460.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NE,11170.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NH,5500.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NJ,4160.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NM,10610.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NV,18580.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,NY,196280.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,OH,56640.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,OK,17170.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,OR,32590.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,PA,88260.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,PR,6220.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,RI,6460.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,SC,26780.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,SD,1960.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,TN,42100.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,TX,197380.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,UT,42610.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,VA,26010.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,VT,1820.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,WA,41240.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,WI,24780.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,WV,7780.0,0.4043,Medium,Management,False
2019,11-1021,General and Operations Managers,WY,1620.0,0.4043,Medium,Management,False
2019,11-3031,Financial Managers,AK,850.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,AK,850.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,AK,850.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,AL,4830.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,AL,4830.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,AL,4830.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,AR,3620.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,AR,3620.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,AR,3620.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,AZ,11740.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,AZ,11740.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,AZ,11740.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,CA,90190.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,CA,90190.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,CA,90190.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,CO,7050.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,CO,7050.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,CO,7050.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,CT,17110.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,CT,17110.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,CT,17110.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,DC,21290.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,DC,21290.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,DC,21290.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,DE,120.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,DE,120.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,DE,120.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,FL,30000.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,FL,30000.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,FL,30000.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,GA,17030.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,GA,17030.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,GA,17030.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,HI,2480.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,HI,2480.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,HI,2480.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,IA,6950.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,IA,6950.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,IA,6950.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,ID,2390.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,ID,2390.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,ID,2390.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,IL,38440.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,IL,38440.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,IL,38440.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,IN,6380.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,IN,6380.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,IN,6380.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,KS,1450.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,KS,1450.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,KS,1450.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,KY,3990.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,KY,3990.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,KY,3990.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,LA,5410.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,LA,5410.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,LA,5410.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MA,33670.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MA,33670.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MA,33670.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MD,7340.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MD,7340.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MD,7340.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,ME,1500.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,ME,1500.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,ME,1500.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MI,13100.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MI,13100.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MI,13100.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MN,13950.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MN,13950.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MN,13950.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MO,10540.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MO,10540.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MO,10540.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MS,1940.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MS,1940.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MS,1940.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,MT,310.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,MT,310.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,MT,310.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NC,15470.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NC,15470.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NC,15470.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,ND,1030.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,ND,1030.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,ND,1030.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NE,3050.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NE,3050.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NE,3050.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NH,1640.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NH,1640.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NH,1640.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NJ,2300.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NJ,2300.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NJ,2300.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NM,1650.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NM,1650.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NM,1650.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NV,5740.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NV,5740.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NV,5740.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,NY,62350.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,NY,62350.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,NY,62350.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,OH,20620.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,OH,20620.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,OH,20620.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,OK,4630.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,OK,4630.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,OK,4630.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,OR,8060.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,OR,8060.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,OR,8060.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,PA,23000.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,PA,23000.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,PA,23000.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,PR,3950.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,PR,3950.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,PR,3950.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,RI,2770.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,RI,2770.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,RI,2770.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,SC,4630.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,SC,4630.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,SC,4630.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,SD,390.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,SD,390.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,SD,390.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,TN,7470.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,TN,7470.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,TN,7470.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,TX,26440.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,TX,26440.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,TX,26440.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,UT,7550.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,UT,7550.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,UT,7550.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,VA,3480.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,VA,3480.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,VA,3480.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,VT,520.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,VT,520.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,VT,520.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,WA,11670.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,WA,11670.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,WA,11670.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,WI,5970.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,WI,5970.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,WI,5970.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,WV,1350.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,WV,1350.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,WV,1350.0,0.3162,Medium,Management,False
2019,11-3031,Financial Managers,WY,250.0,0.3029,Medium,Management,False
2019,11-3031,Financial Managers,WY,250.0,0.3168,Medium,Management,False
2019,11-3031,Financial Managers,WY,250.0,0.3162,Medium,Management,False
2019,13-1071,Human Resources Specialists,AK,600.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,AL,4490.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,AR,3130.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,AZ,12490.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,CA,69440.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,CO,13210.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,CT,6740.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,DC,23730.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,DE,300.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,FL,35780.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,GA,19240.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,HI,1900.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,IA,4930.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,ID,2000.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,IL,24850.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,IN,10020.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,KS,1990.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,KY,5140.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,LA,3650.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MA,18930.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MD,8150.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,ME,980.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MI,14920.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MN,11810.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MO,14740.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MS,1640.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,MT,670.0,0.5142,Medium,Business and Financial Operations,False
2019,13-1071,Human Resources Specialists,NC,17410.0,0.5142,Medium,Business and Financial Operations,False
