occ_code,occ_title,major_code,major_group_title,risk_index,automation_prob,ai_exposure_score,emp_trend_risk,wage_stagnation_risk,risk_tier,score_source,education_req,national_employment
11-1011,Chief Executives,11,Management,0.3197,0.015,0.7867,0.415,0.2269,Medium,actual,Bachelor's degree,204350
11-1011,Chief Executives,11,Management,0.3026,0.015,0.7183,0.415,0.2269,Medium,actual,Bachelor's degree,204350
11-1021,General and Operations Managers,11,Management,0.4043,0.16,0.755,0.0348,0.9636,Medium,actual,Bachelor's degree,3503020
11-2011,Advertising and Promotions Managers,11,Management,0.4432,0.039,0.59,0.727,0.8978,Medium,actual,Bachelor's degree,21470
11-2021,Marketing Managers,11,Management,0.2741,0.014,0.5925,0.0223,0.7731,Low,actual,Bachelor's degree,395240
11-2022,Sales Managers,11,Management,0.3165,0.013,0.7017,0.0209,0.8782,Medium,actual,Bachelor's degree,637080
11-2032,Public Relations Managers,11,Management,0.312,0.03,0.5,0.5,0.5,Medium,imputed,,74850
11-2033,Fundraising Managers,11,Management,0.358,0.03,0.6842,0.5,0.5,Medium,imputed,,38810
11-3012,Administrative Services Managers,11,Management,0.3582,0.03,0.685,0.5,0.5,Medium,imputed,,263960
11-3013,Facilities Managers,11,Management,0.3612,0.03,0.6967,0.5,0.5,Medium,imputed,,156180
11-3013,Facilities Managers,11,Management,0.3768,0.03,0.7592,0.5,0.5,Medium,imputed,,156180
11-3021,Computer and Information Systems Managers,11,Management,0.2807,0.035,0.7125,0.0153,0.57,Low,actual,Bachelor's degree,670570
11-3031,Financial Managers,11,Management,0.3029,0.069,0.7358,0.0836,0.4972,Medium,actual,Bachelor's degree,841710
11-3031,Financial Managers,11,Management,0.3168,0.069,0.7917,0.0836,0.4972,Medium,actual,Bachelor's degree,841710
11-3031,Financial Managers,11,Management,0.3162,0.069,0.7892,0.0836,0.4972,Medium,actual,Bachelor's degree,841710
11-3051,Industrial Production Managers,11,Management,0.324,0.03,0.6617,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3051,Industrial Production Managers,11,Management,0.38,0.03,0.8858,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3051,Industrial Production Managers,11,Management,0.3319,0.03,0.6933,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3051,Industrial Production Managers,11,Management,0.3287,0.03,0.6808,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3051,Industrial Production Managers,11,Management,0.35,0.03,0.7658,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3051,Industrial Production Managers,11,Management,0.3375,0.03,0.7158,0.0919,0.8543,Medium,actual,Bachelor's degree,246250
11-3061,Purchasing Managers,11,Management,0.3327,0.03,0.7583,0.188,0.6232,Medium,actual,Bachelor's degree,84320
11-3071,"Transportation, Storage, and Distribution Managers",11,Management,0.5349,0.59,0.6708,0.0139,0.8557,Medium,actual,High school diploma or equivalent,221180
11-3071,"Transportation, Storage, and Distribution Managers",11,Management,0.538,0.59,0.6833,0.0139,0.8557,Medium,actual,High school diploma or equivalent,221180
11-3111,Compensation and Benefits Managers,11,Management,0.6807,0.96,0.7183,0.0487,0.7157,Medium,actual,Bachelor's degree,22940
11-3121,Human Resources Managers,11,Management,0.2528,0.0055,0.7417,0.0306,0.3936,Low,actual,Bachelor's degree,220660
11-3131,Training and Development Managers,11,Management,0.3172,0.0063,0.7442,0.0961,0.7297,Medium,actual,Bachelor's degree,48050
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11,Management,0.2909,0.047,0.6492,0.0891,0.6134,Low,actual,High school diploma or equivalent,6500
11-9021,Construction Managers,11,Management,0.3473,0.071,0.7375,0.0877,0.7801,Medium,actual,Bachelor's degree,380360
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11,Management,0.2727,0.015,0.5467,0.0515,0.7983,Low,actual,Bachelor's degree,73660
11-9032,"Education Administrators, Kindergarten through Secondary",11,Management,0.3549,0.0046,0.7592,0.163,0.8711,Medium,actual,Master's degree,328330
11-9033,"Education Administrators, Postsecondary",11,Management,0.3454,0.01,0.685,0.1532,0.93,Medium,actual,Master's degree,180470
11-9039,"Education Administrators, All Other",11,Management,0.2965,0.03,0.5,0.0989,0.9314,Low,imputed,,55130
11-9041,Architectural and Engineering Managers,11,Management,0.3406,0.017,0.7167,0.2228,0.7339,Medium,actual,Bachelor's degree,220260
