state_abbrev,total_emp,weighted_sum,metro_count,avg_risk_index,state_name,risk_tier
AK,260460.0,123664.01967561737,768,0.47479083036019876,Alaska,Medium
AL,2099120.0,1020012.6999057805,4622,0.4859239585663423,Alabama,Medium
AR,1870830.0,916429.8176758136,2944,0.48985200027571374,Arkansas,Medium
AZ,3762470.0,1834383.5593156987,2771,0.4875476905638314,Arizona,Medium
CA,21419440.0,10250793.412858283,12800,0.47857429572660554,California,Medium
CO,3242250.0,1563589.5887983455,3378,0.4822544803140861,Colorado,Medium
CT,1930080.0,903216.1260392031,2636,0.4679682324251861,Connecticut,Medium
DC,4277080.0,1973226.2920785155,786,0.46134893246759834,District of Columbia,Medium
DE,3720810.0,1759902.6763403034,1149,0.47298912772764623,Delaware,Medium
FL,11453810.0,5597024.521492413,9938,0.4886604999989011,Florida,Medium
GA,5633050.0,2736894.546332164,5714,0.4858637055116081,Georgia,Medium
HI,641650.0,312898.85260659625,858,0.4876472416529202,Hawaii,Medium
IA,1972870.0,956299.74258005,3981,0.48472516819661204,Iowa,Medium
ID,838150.0,412551.7284568713,2273,0.49221705954408074,Idaho,Medium
IL,8617470.0,4136928.2745352066,5016,0.4800629737655259,Illinois,Medium
IN,10602950.0,5147011.178521459,6705,0.48543199567303996,Indiana,Medium
KS,2204880.0,1071734.8898827878,2947,0.4860740221158466,Kansas,Medium
KY,3157740.0,1536533.5300889905,3941,0.4865927942417648,Kentucky,Medium
LA,2127240.0,1028107.7757641503,3969,0.4833059625449645,Louisiana,Medium
MA,5217780.0,2439201.4201665716,3525,0.46747877836293816,Massachusetts,Medium
MD,9995790.0,4675286.32502537,3417,0.4677255449569639,Maryland,Medium
ME,490360.0,235233.45736913188,1224,0.47971583605745144,Maine,Medium
MI,4774240.0,2296595.638473176,6412,0.48103900065207783,Michigan,Medium
MN,3431230.0,1644061.979488288,3920,0.479146539138527,Minnesota,Medium
MO,3773120.0,1813627.9359452645,3669,0.4806706216460819,Missouri,Medium
MS,1365020.0,673534.193166479,1963,0.4934244136836669,Mississippi,Medium
MT,359750.0,175441.2964143692,1684,0.48767559809414646,Montana,Medium
NC,6081340.0,2945644.4290479366,7420,0.48437423808699015,North Carolina,Medium
ND,366710.0,177224.92626963084,1344,0.4832835926744044,North Dakota,Medium
NE,983660.0,475461.6091766243,1770,0.48335970678549933,Nebraska,Medium
NH,3717730.0,1719902.385474135,1275,0.46262164962870755,New Hampshire,Medium
NJ,16053600.0,7608689.19783785,3543,0.47395532452769784,New Jersey,Medium
NM,715310.0,348943.85117694305,1492,0.4878218551074961,New Mexico,Medium
NV,1788430.0,892934.2966712129,1504,0.4992838951880772,Nevada,Medium
NY,14313250.0,6814774.682004964,6242,0.4761165131612292,New York,Medium
OH,6270330.0,3030103.940330725,6900,0.48324473198870316,Ohio,Medium
OK,1607850.0,793446.5143419564,2085,0.49348292088313983,Oklahoma,Medium
OR,2298490.0,1116719.7374118061,3495,0.48584929123546594,Oregon,Medium
PA,7547610.0,3618428.7580632903,7215,0.47941384863066455,Pennsylvania,Medium
PR,1113530.0,559832.1021768646,1620,0.5027543956398701,Puerto Rico,Medium
RI,855130.0,414226.94088180247,669,0.48440230243565596,Rhode Island,Medium
SC,4168350.0,2039107.5724379926,4806,0.4891881853582335,South Carolina,Medium
SD,397120.0,195119.2874807944,1202,0.4913358367264162,South Dakota,Medium
TN,3623650.0,1773470.2113882445,4604,0.4894154268177789,Tennessee,Medium
TX,15758790.0,7674864.155680041,11248,0.4870211580762254,Texas,Medium
UT,1946970.0,949219.6979051696,2405,0.487536889579793,Utah,Medium
VA,6932700.0,3261634.5539639005,5020,0.4704710363875403,Virginia,Medium
VT,156160.0,72384.05793217426,476,0.4635249611435339,Vermont,Medium
WA,5429410.0,2618469.050486664,5373,0.4822750631259499,Washington,Medium
WI,5211410.0,2515871.7322299066,6400,0.482762195304132,Wisconsin,Medium
WV,5067080.0,2349235.5506671304,3719,0.4636270891059803,West Virginia,Medium
WY,97050.0,47740.58749905589,514,0.4919174394544656,Wyoming,Medium
